"X(um)","Z(um)"
"7415.561 ","-17.031 "
"7439.178 ","-19.289 "
"7462.794 ","-21.507 "
"7486.411 ","-23.634 "
"7510.027 ","-25.668 "
"7533.644 ","-27.623 "
"7557.260 ","-29.553 "
"7580.876 ","-31.433 "
"7604.493 ","-33.259 "
"7628.109 ","-35.116 "
"7651.726 ","-37.025 "
"7675.342 ","-39.019 "
"7698.959 ","-41.013 "
"7722.575 ","-43.065 "
"7746.191 ","-45.223 "
"7769.808 ","-47.404 "
"7793.424 ","-49.649 "
"7817.041 ","-51.929 "
"7840.657 ","-54.193 "
"7864.274 ","-56.508 "
"7887.890 ","-58.724 "
"7911.507 ","-60.739 "
"7935.123 ","-62.532 "
"7958.739 ","-64.096 "
"7982.356 ","-62.265 "
"8005.972 ","-48.925 "
"8029.589 ","-50.434 "
"8053.205 ","-51.685 "
"8076.822 ","-42.491 "
"8100.438 ","-31.705 "
"8124.054 ","-20.057 "
"8147.671 ","-8.825 "
"8171.287 ","1.393 "
"8194.904 ","9.927 "
"8218.520 ","16.547 "
"8242.137 ","21.768 "
"8265.753 ","26.185 "
"8289.370 ","30.170 "
"8312.986 ","33.688 "
"8336.602 ","36.582 "
"8360.219 ","38.722 "
"8383.835 ","40.424 "
"8407.452 ","41.694 "
"8431.068 ","42.523 "
"8454.685 ","42.996 "
"8478.301 ","43.146 "
"8501.917 ","43.146 "
"8525.534 ","43.098 "
"8549.150 ","42.991 "
"8572.767 ","42.829 "
"8596.383 ","42.446 "
"8620.000 ","41.718 "
"8643.616 ","40.644 "
"8667.233 ","39.225 "
"8690.849 ","37.519 "
"8714.465 ","35.629 "
"8738.082 ","33.627 "
"8761.698 ","31.516 "
"8785.315 ","29.284 "
"8808.931 ","26.902 "
"8832.548 ","24.453 "
"8856.164 ","21.862 "
"8879.780 ","19.052 "
"8903.397 ","16.074 "
"8927.013 ","13.120 "
"8950.630 ","10.206 "
"8974.246 ","7.305 "
"8997.863 ","4.371 "
"9021.479 ","1.513 "
"9045.096 ","-1.154 "
"9068.712 ","-3.808 "
"9092.328 ","-6.570 "
"9115.945 ","-9.371 "
"9139.561 ","-12.148 "
"9163.178 ","-14.869 "
"9186.794 ","-17.598 "
"9210.411 ","-20.224 "
"9234.027 ","-22.677 "
"9257.643 ","-24.909 "
"9281.260 ","-26.929 "
"9304.876 ","-28.783 "
"9328.493 ","-30.606 "
"9352.109 ","-32.413 "
"9375.726 ","-34.151 "
"9399.342 ","-35.788 "
"9422.959 ","-37.173 "
"9446.575 ","-38.189 "
"9470.191 ","-38.103 "
"9493.808 ","-36.192 "
