"X(um)","Z(um)"
"9969.982 ","1.757 "
"9993.608 ","1.097 "
"10017.233 ","0.471 "
"10040.859 ","-0.211 "
"10064.484 ","-1.138 "
"10088.110 ","-2.371 "
"10111.735 ","-3.774 "
"10135.361 ","-5.254 "
"10158.986 ","-6.692 "
"10182.612 ","-8.020 "
"10206.237 ","-9.222 "
"10229.863 ","-10.347 "
"10253.489 ","-11.401 "
"10277.114 ","-12.409 "
"10300.740 ","-13.429 "
"10324.365 ","-14.414 "
"10347.991 ","-15.429 "
"10371.616 ","-16.476 "
"10395.242 ","-17.507 "
"10418.867 ","-18.508 "
"10442.493 ","-19.443 "
"10466.119 ","-20.316 "
"10489.744 ","-21.037 "
"10513.370 ","-21.615 "
"10536.995 ","-22.123 "
"10560.621 ","-22.622 "
"10584.246 ","-23.229 "
"10607.872 ","-23.945 "
"10631.497 ","-24.761 "
"10655.123 ","-25.768 "
"10678.748 ","-26.966 "
"10702.374 ","-28.273 "
"10726.000 ","-29.677 "
"10749.625 ","-31.068 "
"10773.251 ","-32.312 "
"10796.876 ","-33.173 "
"10820.502 ","-33.327 "
"10844.127 ","-31.897 "
"10867.753 ","-28.256 "
"10891.378 ","-22.867 "
"10915.004 ","-16.829 "
"10938.630 ","-12.426 "
"10962.255 ","-9.220 "
"10985.881 ","-7.637 "
"11009.506 ","-7.885 "
"11033.132 ","-10.806 "
"11056.757 ","-14.306 "
"11080.383 ","-16.970 "
"11104.008 ","-17.771 "
"11127.634 ","-16.756 "
"11151.259 ","-14.404 "
"11174.885 ","-10.893 "
"11198.511 ","-6.315 "
"11222.136 ","-0.776 "
"11245.762 ","5.293 "
"11269.387 ","11.405 "
"11293.013 ","17.053 "
"11316.638 ","21.791 "
"11340.264 ","25.562 "
"11363.889 ","28.336 "
"11387.515 ","30.107 "
"11411.141 ","31.070 "
"11434.766 ","31.404 "
"11458.392 ","31.168 "
"11482.017 ","30.361 "
"11505.643 ","28.910 "
"11529.268 ","26.986 "
"11552.894 ","24.804 "
"11576.519 ","22.465 "
"11600.145 ","20.193 "
"11623.770 ","18.148 "
"11647.396 ","16.504 "
"11671.022 ","15.296 "
"11694.647 ","14.513 "
"11718.273 ","13.967 "
"11741.898 ","13.525 "
"11765.524 ","13.031 "
"11789.149 ","12.188 "
"11812.775 ","11.039 "
"11836.400 ","9.612 "
"11860.026 ","7.982 "
"11883.651 ","6.323 "
"11907.277 ","4.814 "
"11930.903 ","3.531 "
"11954.528 ","2.372 "
"11978.154 ","1.203 "
"12001.779 ","-0.032 "
"12025.405 ","-1.340 "
"12049.030 ","-2.649 "
"12072.656 ","-3.930 "
"12096.281 ","-5.155 "
"12119.907 ","-6.266 "
"12143.533 ","-7.284 "
"12167.158 ","-8.137 "
"12190.784 ","-8.880 "
"12214.409 ","-9.489 "
"12238.035 ","-10.075 "
"12261.660 ","-10.635 "
"12285.286 ","-11.243 "
"12308.911 ","-11.770 "
"12332.537 ","-12.209 "
"12356.162 ","-12.593 "
"12379.788 ","-12.961 "
"12403.414 ","-13.423 "
"12427.039 ","-14.139 "
"12450.665 ","-15.139 "
"12474.290 ","-16.297 "
"12497.916 ","-17.517 "
"12521.541 ","-18.761 "
"12545.167 ","-19.856 "
"12568.792 ","-20.632 "
"12592.418 ","-21.191 "
"12616.044 ","-21.648 "
"12639.669 ","-22.022 "
"12663.295 ","-22.011 "
"12686.920 ","-21.398 "
"12710.546 ","-19.699 "
